nbElements: 2153
indexFenetre, indexVoletGauche, indexVoletDroit, 
286, 213, 321, 
287, 614, 905, 
288, 58, 1070, 
289, 1982, 218, 
290, 967, 1638, 
291, 1155, 873, 
292, 1259, 1166, 
293, 2119, 517, 
294, 1584, 2118, 
295, 916, 2026, 
296, 1169, 725, 
297, 547, 1444, 
298, 819, 1719, 
299, 658, 1519, 
300, 1202, 271, 
301, 2028, 175, 
302, 106, 943, 
303, 1710, 1936, 
304, 27, 64, 
305, 544, 880, 
306, 934, 1439, 
307, 1826, 43, 
308, 2095, 1026, 
309, 299, 617, 
310, 1682, 1139, 
311, 1877, 200, 
312, 1643, 1275, 
313, 1443, 1644, 
314, 1316, 1383, 
315, 274, 1023, 
316, 710, 557, 
317, 337, 1868, 
318, 1667, 1367, 
319, 66, 1227, 
320, 1032, 88, 
321, 745, 611, 
322, 1628, 2083, 
323, 422, 1435, 
324, 769, 351, 
325, 1173, 1182, 
326, 170, 1278, 
327, 2117, 1528, 
328, 70, 332, 
329, 970, 1095, 
330, 1726, 2073, 
331, 1830, 488, 
332, 387, 743, 
333, 1549, 241, 
334, 1104, 161, 
335, 763, 1890, 
336, 371, 1690, 
337, 1229, 2008, 
338, 1612, 115, 
339, 1272, 675, 
340, 178, 1709, 
341, 2033, 529, 
342, 1332, 1826, 
343, 1992, 467, 
344, 1940, 1699, 
345, 488, 1592, 
346, 2102, 261, 
347, 1477, 1728, 
348, 2101, 1949, 
349, 310, 465, 
350, 1926, 513, 
351, 1275, 1555, 
352, 516, 328, 
353, 973, 11, 
354, 1583, 446, 
355, 1230, 1480, 
356, 786, 1761, 
357, 283, 1907, 
358, 157, 2151, 
359, 1253, 250, 
360, 721, 501, 
361, 298, 737, 
362, 13, 1311, 
363, 590, 398, 
364, 1492, 856, 
365, 2002, 176, 
366, 602, 833, 
367, 244, 352, 
368, 175, 184, 
369, 1047, 650, 
370, 1907, 1736, 
371, 572, 1280, 
372, 932, 500, 
373, 1585, 483, 
374, 1053, 2076, 
375, 399, 1961, 
376, 366, 1324, 
377, 1735, 620, 
378, 1921, 1106, 
379, 1788, 379, 
380, 1430, 1792, 
381, 1479, 1292, 
382, 1293, 1540, 
383, 1635, 477, 
384, 111, 746, 
385, 903, 1724, 
386, 607, 1147, 
387, 461, 701, 
388, 1567, 410, 
389, 2025, 353, 
390, 1827, 980, 
391, 664, 968, 
392, 1070, 1301, 
393, 2111, 1509, 
394, 1015, 1356, 
395, 1334, 878, 
396, 908, 1937, 
397, 1285, 289, 
398, 231, 632, 
399, 866, 1097, 
400, 1512, 508, 
401, 33, 1294, 
402, 1419, 1474, 
403, 2130, 1546, 
404, 1387, 1055, 
405, 1168, 1422, 
406, 662, 325, 
407, 598, 1253, 
408, 1309, 78, 
409, 471, 858, 
410, 1838, 1504, 
411, 83, 1808, 
412, 713, 45, 
413, 1239, 507, 
414, 376, 7, 
415, 990, 1279, 
416, 856, 1214, 
417, 1121, 1409, 
418, 1599, 1223, 
419, 925, 1818, 
420, 67, 1844, 
421, 1703, 9, 
422, 537, 385, 
423, 1774, 1892, 
424, 72, 528, 
425, 1754, 2087, 
426, 555, 1436, 
427, 778, 853, 
428, 1299, 621, 
429, 1200, 823, 
430, 1949, 1796, 
431, 742, 1238, 
432, 345, 1552, 
433, 63, 1876, 
434, 1041, 516, 
435, 1863, 1678, 
436, 1028, 1392, 
437, 1425, 607, 
438, 1938, 1200, 
439, 1554, 1075, 
440, 608, 49, 
441, 943, 272, 
442, 2137, 281, 
443, 185, 1124, 
444, 656, 1902, 
445, 571, 1928, 
446, 1457, 1109, 
447, 179, 1145, 
448, 464, 2049, 
449, 1248, 1310, 
450, 1499, 2013, 
451, 84, 559, 
452, 542, 492, 
453, 378, 1001, 
454, 1596, 1788, 
455, 357, 1156, 
456, 2050, 1980, 
457, 1251, 1210, 
458, 1411, 612, 
459, 528, 1946, 
460, 1331, 2043, 
461, 1516, 690, 
462, 1520, 282, 
463, 347, 2009, 
464, 568, 143, 
465, 1714, 12, 
466, 1501, 287, 
467, 262, 1262, 
468, 478, 1783, 
469, 522, 458, 
470, 491, 1048, 
471, 167, 1941, 
472, 1233, 194, 
473, 576, 626, 
474, 468, 147, 
475, 1494, 1563, 
476, 1651, 1869, 
477, 507, 1871, 
478, 1790, 894, 
479, 747, 1944, 
480, 834, 1718, 
481, 731, 565, 
482, 1533, 1578, 
483, 1164, 1377, 
484, 294, 270, 
485, 1052, 1318, 
486, 758, 118, 
487, 1988, 1336, 
488, 1923, 210, 
489, 1021, 935, 
490, 562, 1939, 
491, 1762, 1877, 
492, 1401, 2117, 
493, 7, 616, 
494, 1937, 874, 
495, 1337, 54, 
496, 1376, 2003, 
497, 1350, 275, 
498, 69, 997, 
499, 1267, 195, 
500, 722, 883, 
501, 270, 660, 
502, 6, 1056, 
503, 1484, 186, 
504, 1186, 971, 
505, 1303, 728, 
506, 698, 1101, 
507, 1557, 231, 
508, 1423, 441, 
509, 472, 1413, 
510, 404, 1122, 
511, 177, 1631, 
512, 1896, 820, 
513, 933, 2081, 
514, 232, 2011, 
515, 1517, 354, 
